时间,load,3-sigma (global),3-sigma (rolling 24h),Isolation Forest,IF异常分,报警数
2014-05-29 09:00:00,14.9112,False,True,True,-0.0284,2
2014-05-30 09:00:00,9.5178,False,True,True,-0.0166,2
2014-07-31 08:00:00,10.1523,False,True,True,-0.0128,2
2014-07-14 09:00:00,7.9315,False,True,True,-0.0018,2
2014-07-15 08:00:00,14.5939,False,True,True,-0.0042,2
2014-07-17 09:00:00,12.6904,False,True,True,-0.0191,2
2014-07-22 08:00:00,14.5939,False,True,True,-0.0139,2
2014-07-23 09:00:00,10.1523,False,True,True,-0.0029,2
2014-07-09 10:00:00,14.5939,False,True,True,-0.0269,2
2014-07-02 10:00:00,14.2766,False,True,True,-0.0093,2
2014-06-17 11:00:00,17.1320,False,True,True,-0.0131,2
2014-08-27 14:00:00,25.3807,True,True,False,0.0065,2
2014-08-28 07:00:00,23.7944,True,True,False,0.0361,2
2014-10-15 09:00:00,13.9594,False,True,True,-0.0174,2
2014-09-05 18:00:00,23.1599,True,True,False,0.0256,2
2014-09-06 07:00:00,24.7462,True,True,False,0.0110,2
2014-08-26 07:00:00,24.1117,True,True,False,0.0183,2
2014-08-19 22:00:00,23.4772,True,True,False,0.0200,2
2014-08-10 18:00:00,23.1599,True,True,False,0.0186,2
2014-08-31 18:00:00,23.7944,True,True,False,0.0246,2
2014-08-05 09:00:00,17.7665,False,True,True,-0.0259,2
2014-05-28 08:00:00,9.5178,False,False,True,-0.0080,1
2014-06-04 11:00:00,14.2766,False,False,True,-0.0247,1
2014-06-03 03:00:00,16.1802,False,False,True,-0.0049,1
2014-06-03 02:00:00,16.1802,False,False,True,-0.0091,1
2014-06-03 01:00:00,12.0558,False,False,True,-0.0067,1
2014-06-02 09:00:00,9.2005,False,True,False,0.0059,1
2014-06-06 01:00:00,15.8629,False,False,True,-0.0250,1
2014-06-06 00:00:00,11.1041,False,False,True,-0.0059,1
2014-06-05 09:00:00,9.2005,False,True,False,0.0444,1
2014-07-03 09:00:00,9.2005,False,True,False,0.0465,1
2014-07-04 09:00:00,5.0761,False,True,False,0.0655,1
2014-07-07 09:00:00,4.7589,False,True,False,0.0576,1
2014-07-10 17:00:00,8.7246,False,False,True,-0.0028,1
2014-07-01 09:00:00,6.6624,False,True,False,0.0115,1
2014-06-30 10:00:00,3.1726,False,True,False,0.0614,1
